# ============================================================================
# anexo1_ba.csv - AMOSTRA INICIAL da relacao de mercadorias sujeitas a
# Substituicao Tributaria na Bahia (Anexo I do RICMS/BA, Dec. 13.780/2012).
#
# Conteudo baseado na tabela CEST do Convenio ICMS 142/18 (CONFAZ), anexos
# II a XXVI, na redacao publicada no site do CONFAZ, conferida em
# 07/07/2026. Sao 208 itens reais (CEST e NCM validados contra a tabela
# oficial) cobrindo os principais segmentos.
#
# ATENCAO: isto e uma AMOSTRA. Antes do uso em producao, CONFIRA e
# SUBSTITUA/COMPLEMENTE este arquivo com a tabela oficial vigente do
# Anexo I do RICMS/BA (site da SEFAZ/BA) - ver dados/LEIA-ME.txt.
#
# Formato: separador ';', codificacao UTF-8; linhas iniciadas com '#' sao
# ignoradas. CEST no formato NN.NNN.NN; NCM completo com pontos ou prefixo
# de posicao/subposicao (ex.: 3305.10.00, 2203, 8708). NAO use ';' dentro
# dos campos (quebra a leitura).
# ============================================================================
cest;ncm;descricao;segmento;fundamentacao
01.001.00;3815.12.10;Catalisadores em colmeia ceramica ou metalica para conversao catalitica de gases de escape de veiculos;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.001.00;3815.12.90;Outros catalisadores para conversao catalitica de gases de escape de veiculos;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.002.00;3917;Tubos e seus acessorios (juntas, cotovelos, flanges, unioes), de plasticos;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.005.00;3926.30.00;Frisos, decalques, molduras e acabamentos;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.007.00;4016.93.00;Juntas, gaxetas e outros elementos com funcao semelhante de vedacao;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.009.00;4016.99.90;Tapetes, revestimentos, batentes, buchas e coxins;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.014.00;6813;Guarnicoes de friccao (placas, discos, pastilhas) para freios, embreagens e mecanismos de friccao;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.015.00;7007.11.00;Vidros de dimensoes e formatos que permitam aplicacao automotiva;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.016.00;7009.10.00;Espelhos retrovisores;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.020.00;7320;Molas e folhas de molas, de ferro ou aco;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.032.00;8413.30;Bombas para combustiveis, lubrificantes ou liquidos de arrefecimento, para motores;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.037.00;8421.23.00;Aparelhos para filtrar oleos minerais nos motores (filtros de oleo);Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.041.00;8421.31.00;Filtros de entrada de ar para motores de ignicao por centelha ou por compressao;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.049.00;8482;Rolamentos;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.051.00;8484;Juntas metaloplasticas, jogos ou sortidos de juntas, juntas de vedacao mecanicas;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.053.00;8507.10;Acumuladores eletricos de chumbo para arranque de motores (baterias automotivas);Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.054.00;8511;Aparelhos e dispositivos eletricos de ignicao ou arranque (velas, bobinas, motores de arranque, alternadores);Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.055.00;8512.20;Aparelhos eletricos de iluminacao ou sinalizacao, limpadores de para-brisas, degeladores;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.070.00;8539.10;Farois e projetores, em unidades seladas;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.075.00;8708;Partes e acessorios dos veiculos automoveis das posicoes 8701 a 8705;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
01.076.00;8714.1;Partes e acessorios de motocicletas, incluidos os ciclomotores;Autopecas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 01
02.004.00;2208.40.00;Cachaca e aguardentes;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.004.00;2207.20;Cachaca e aguardentes (alcool etilico desnaturado);Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.006.00;2208.20.00;Conhaque, brandy e similares;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.008.00;2208.50.00;Gim (gin) e genebra;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.010.00;2208.70.00;Licores e similares;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.012.00;2208.40.00;Rum;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.016.00;2208.30;Uisque;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.017.00;2205;Vermute e similares;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.018.00;2208.60.00;Vodka;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.024.00;2204;Vinhos de uvas frescas, incluindo vinhos enriquecidos com alcool, mostos de uvas;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
02.999.00;2208;Outras bebidas alcoolicas nao especificadas nos itens anteriores;Bebidas alcoolicas, exceto cerveja e chope;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 02
03.003.00;2201.10.00;Agua mineral, gasosa ou nao, ou potavel, em embalagem de vidro descartavel;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.005.00;2201.10.00;Agua mineral, gasosa ou nao, ou potavel, em copo plastico descartavel;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.005.04;2201.10.00;Agua mineral, gasosa ou nao, ou potavel, em demais embalagens descartaveis;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.006.00;2201;Outras aguas minerais, gasosas ou nao, ou potaveis, naturais;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.007.00;2202.10.00;Agua aromatizada artificialmente, exceto refrescos e refrigerantes;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.010.00;2202.10.00;Refrigerante em vidro descartavel;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.010.01;2202.10.00;Refrigerante em embalagem pet;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.010.02;2202.10.00;Refrigerante em lata;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.011.00;2202.10.00;Demais refrigerantes;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.011.01;2202;Espumantes sem alcool;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.012.00;2106.90.10;Xarope ou extrato concentrado para preparo de refrigerante em maquina pre-mix ou post-mix;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.013.00;2202.99.00;Bebidas energeticas em lata;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.015.00;2202.99.00;Bebidas hidroeletroliticas (isotonicas);Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.021.00;2203.00.00;Cerveja em garrafa de vidro retornavel;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.021.03;2203.00.00;Cerveja em lata;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.022.03;2202.91.00;Cerveja sem alcool em lata;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.023.00;2203.00.00;Chope;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
03.024.00;2201.10.00;Agua mineral em embalagens retornaveis de 10 a 20 litros;Cervejas, chopes, refrigerantes e aguas;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 03
